959 978
349 213 3638436
448 310 86028
494 398 76528665
900 858 25373599
51 22 774852833
50 8 793847
345 72 870000
432 134 120346
584 147 43808
441 42 506618547
609 200 981091405
531 51 126322
665 626 936921
235 46 213931274
30 29 40489
555 16 370
761 244 79158917
943 880 92876645
403 63 14918844
749 626 688482
919 792 141346782
363 170 469676
107 98 326952896
334 14 67242
46 37 738044
686 398 651955720
386 271 645742
12 9 1041845
232 186 613984248
920 306 2376035
949 61 3689214
844 793 32384555
427 363 648875
748 746 32614
585 21 35270251
740 647 8353972
688 422 30863
166 56 816427001
305 211 780821228
948 624 2642779
411 86 48443
739 625 321414
645 561 9404603
502 117 804200
703 295 589387
918 525 392371253
478 91 87312
922 597 41156
951 488 658261
456 274 234378607
131 91 611678054
603 385 27415
359 144 62260
468 280 682556895
222 103 296827892
458 11 655231116
99 64 94938016
628 241 41508779
233 3 4364212
167 153 7483147
868 777 8741458
205 178 951359
149 67 83231
75 22 644075805
805 99 834115
696 648 78313025
103 54 46285
607 498 3248907
582 505 933544909
639 425 62813084
553 258 86136
446 432 39358
114 92 389512
770 55 65881
819 191 81476825
621 346 35230
803 21 66445
575 194 62720
512 379 5109289
890 39 70490006
353 333 57514038
907 900 31711899
408 37 612609
452 262 49582798
627 527 260731803
173 32 15570
727 318 649042073
393 152 64141839
632 507 105621
754 204 80375279
617 447 842347
475 408 5190562
810 203 719613
55 40 829060987
274 24 916500272
283 227 2492432
721 15 28781
141 92 258493
213 208 127521
168 143 146914
253 27 14014141
869 236 6561
788 342 684342
375 272 858849
516 414 7635334
407 208 6371150
667 211 5768745
377 173 1004694
524 292 819723553
406 230 20293933
799 90 686323
398 54 240972490
337 190 592808
515 355 1066600
863 502 3068237
846 772 96177222
565 224 704277619
116 54 13449831
946 73 2253743
747 498 869075
358 328 72552475
307 139 60564
958 668 6217812
237 154 831674
659 483 31301498
541 528 88888
292 111 93841331
562 422 711940
251 220 377255
476 127 45595
373 260 7997957
94 26 95350906
675 194 79357
817 461 39922438
341 290 19717
124 119 33695973
698 32 59285
80 4 927116483
20 1 4840746
908 700 3228175
176 60 278406
509 27 2090107
709 498 5425070
577 242 733951
804 604 1828779
443 439 426646
63 39 13714826
121 36 6278143
589 158 733980
532 425 85750717
737 99 84669494
896 569 779864
928 424 484338
832 592 37338
787 380 52383341
802 82 551059
54 7 744071
348 110 35318
223 13 7730726
264 84 196665
413 191 779367027
525 417 4293657
845 680 27739
216 48 975764
326 97 27503
834 514 789120205
26 15 73956676
285 204 723563
67 66 417972
7 4 633652954
633 552 953244
793 161 89078600
27 23 690101564
15 7 447231401
231 2 41690
736 260 618548
86 48 3856831
370 203 8996
374 25 54189304
380 196 995618297
867 55 860604438
320 13 542376564
690 191 3163439
219 145 68432798
526 350 9825243
614 505 996436609
897 536 19035063
640 76 15693
726 577 367845
318 1 14156149
132 117 61034
939 118 316080
321 311 54383
760 243 3233016
598 344 579381985
342 291 769840622
438 112 4865522
860 105 3051508
133 125 242805
16 9 264790129
666 28 626981
566 65 134673
336 59 97147711
546 238 477571
592 563 2252163
856 57 62593593
29 2 3732855
956 317 61828459
642 32 94084
185 107 959316
73 14 2743
536 164 272307
416 197 250017
262 61 33548
722 409 4199448
848 608 72984101
599 383 779135380
414 288 5524297
959 564 3114034
45 14 890760
346 141 79669
4 2 70837
218 44 83664096
656 505 150823
662 265 38973
206 91 945531896
521 314 579908441
428 128 70217
766 515 31336357
271 45 919356
152 49 93111
513 184 596473
552 56 51557415
450 3 772819178
250 193 234706
643 531 591343614
713 605 4091
940 122 76841
378 56 28191365
433 104 15264931
120 61 67303194
556 64 42917
538 90 313255
750 511 54255
144 45 35869
931 17 53631493
195 9 4743922
376 256 33581
934 98 26174
847 674 873266
649 163 1466847
852 609 32386404
148 107 44505749
364 229 902550
550 171 54054
88 31 5276639
317 205 959473979
823 33 763162
275 101 7695233
123 1 99077
311 182 369579562
78 21 19174
313 163 4444009
729 659 249512705
430 159 31641
499 459 4263907
118 86 60683799
289 146 4475
282 259 815491
146 143 464717051
217 195 52964
559 88 420187
950 198 923696609
728 27 121367
64 22 334440
399 121 614213740
84 71 48394
957 347 133599
76 9 6296381
28 20 487232438
569 312 292157369
578 556 8222908
953 720 66347452
924 468 168129
514 190 181662118
647 441 163032
214 169 732957
758 408 935334360
138 25 89366603
33 20 17020
618 1 47963
295 264 769091
184 100 568591359
873 844 7056
677 427 58325677
241 160 365694347
683 416 82813
56 11 21086
110 96 953765261
752 442 290744
145 17 4616253
135 112 70162478
467 32 711796
510 59 549845
347 250 929337
664 224 8841
227 132 49001114
276 227 105934954
265 181 7190824
447 201 416033050
315 34 531091833
755 512 8094784
776 52 54864933
130 86 550631
735 696 5437898
811 153 3753823
870 493 62281
574 248 33403
606 144 93192582
821 227 14403282
287 275 84874603
163 149 9704255
929 877 581
245 152 93768673
685 551 416968230
623 316 758997339
182 150 9779554
586 279 74997
898 3 69522
880 156 9969721
79 55 88187828
134 28 904119
715 147 35262152
108 3 8780353
68 64 591572
330 154 373328
942 148 58050
570 251 38602397
367 118 21405
841 835 98841257
459 196 722487
196 90 7477
220 81 2121510
387 345 353675
590 130 40035
249 13 90227
410 257 121225
47 18 7663486
679 550 21724
850 797 84204032
384 316 6252191
57 8 19533
881 637 487709
822 594 39967043
830 638 836129
435 363 898585344
390 21 315741
741 480 451109736
701 13 86247
600 128 96608
547 445 18840
379 273 146272918
5 1 1918091
487 363 818742
612 519 4645028
429 177 357686
899 129 498854
903 360 791026827
637 265 303196
638 436 41554
858 348 303276689
520 95 1335848
619 355 78517912
72 3 77377202
104 78 8574020
470 191 319126
266 33 48433
460 171 4022816
